id,Film,winning,year
0,Wings,1,1928
1,The Racket,0,1928
2,7th Heaven,0,1928
3,The Broadway Melody,1,1929
4,Alibi,0,1929
5,Hollywood Revue,0,1929
6,In Old Arizona,0,1929
7,The Patriot,0,1929
8,All Quiet on the Western Front,1,1930
9,The Big House,0,1930
10,Disraeli,0,1930
11,The Divorcee,0,1930
12,The Love Parade,0,1930
13,Cimarron,1,1931
14,East Lynne,0,1931
15,The Front Page,0,1931
16,Skippy,0,1931
17,Trader Horn,0,1931
18,Grand Hotel,1,1932
19,Arrowsmith,0,1932
20,Bad Girl,0,1932
21,The Champ,0,1932
22,Five Star Final,0,1932
23,One Hour with You,0,1932
24,Shanghai Express,0,1932
25,The Smiling Lieutenant,0,1932
26,Cavalcade,1,1933
27,42nd Street,0,1933
28,A Farewell to Arms,0,1933
29,I Am a Fugitive from a Chain Gang,0,1933
30,Lady for a Day,0,1933
31,Little Women,0,1933
32,The Private Life of Henry VIII,0,1933
33,She Done Him Wrong,0,1933
34,Smilin' Through,0,1933
35,State Fair,0,1933
36,It Happened One Night,1,1934
37,The Barretts of Wimpole Street,0,1934
38,Cleopatra,0,1934
39,Flirtation Walk,0,1934
40,The Gay Divorcee,0,1934
41,Here Comes the Navy,0,1934
42,The House of Rothschild,0,1934
43,Imitation of Life,0,1934
44,One Night of Love,0,1934
45,The Thin Man,0,1934
46,Viva Villa!,0,1934
47,The White Parade,0,1934
48,Mutiny on the Bounty,1,1935
49,Alice Adams,0,1935
50,Broadway Melody of 1936,0,1935
51,Captain Blood,0,1935
52,David Copperfield,0,1935
53,The Informer,0,1935
54,The Lives of a Bengal Lancer,0,1935
55,A Midsummer Night's Dream,0,1935
56,Les Misérables,0,1935
57,Naughty Marietta,0,1935
58,Ruggles of Red Gap,0,1935
59,Top Hat,0,1935
60,The Great Ziegfeld,1,1936
61,Anthony Adverse,0,1936
62,Dodsworth,0,1936
63,Libeled Lady,0,1936
64,Mr. Deeds Goes to Town,0,1936
65,Romeo and Juliet,0,1936
66,San Francisco,0,1936
67,The Story of Louis Pasteur,0,1936
68,A Tale of Two Cities,0,1936
69,Three Smart Girls,0,1936
70,The Life of Emile Zola,1,1937
71,The Awful Truth,0,1937
72,Captains Courageous,0,1937
73,Dead End,0,1937
74,The Good Earth,0,1937
75,In Old Chicago,0,1937
76,Lost Horizon,0,1937
77,One Hundred Men and a Girl,0,1937
78,Stage Door,0,1937
79,A Star Is Born,0,1937
80,You Can't Take It With You,1,1938
81,The Adventures of Robin Hood,0,1938
82,Alexander's Ragtime Band,0,1938
83,Boys Town,0,1938
84,The Citadel,0,1938
85,Four Daughters,0,1938
86,Grand Illusion,0,1938
87,Jezebel,0,1938
88,Pygmalion,0,1938
89,Test Pilot,0,1938
90,Gone with the Wind,1,1939
91,Dark Victory,0,1939
92,"Goodbye, Mr. Chips",0,1939
93,Love Affair,0,1939
94,Mr. Smith Goes to Washington,0,1939
95,Ninotchka,0,1939
96,Of Mice and Men,0,1939
97,Stagecoach,0,1939
98,The Wizard of Oz,0,1939
99,Wuthering Heights,0,1939
100,Rebecca,1,1940
101,"All This, and Heaven Too",0,1940
102,Foreign Correspondent,0,1940
103,The Grapes of Wrath,0,1940
104,The Great Dictator,0,1940
105,Kitty Foyle,0,1940
106,The Letter,0,1940
107,The Long Voyage Home,0,1940
108,Our Town,0,1940
109,The Philadelphia Story,0,1940
110,How Green Was My Valley,1,1941
111,Blossoms in the Dust,0,1941
112,Citizen Kane,0,1941
113,Here Comes Mr. Jordan,0,1941
114,Hold Back the Dawn,0,1941
115,The Little Foxes,0,1941
116,The Maltese Falcon,0,1941
117,One Foot in Heaven,0,1941
118,Sergeant York,0,1941
119,Suspicion,0,1941
120,Mrs. Miniver,1,1942
121,The Invaders (49th Parallel),0,1942
122,Kings Row,0,1942
123,The Magnificent Ambersons,0,1942
124,The Pied Piper,0,1942
125,The Pride of the Yankees,0,1942
126,Random Harvest,0,1942
127,The Talk of the Town,0,1942
128,Wake Island,0,1942
129,Yankee Doodle Dandy,0,1942
130,Casablanca,1,1943
131,For Whom the Bell Tolls,0,1943
132,Heaven Can Wait,0,1943
133,The Human Comedy,0,1943
134,In Which We Serve,0,1943
135,Madame Curie,0,1943
136,The More the Merrier,0,1943
137,The Ox-Bow Incident,0,1943
138,The Song of Bernadette,0,1943
139,Watch on the Rhine,0,1943
140,Going My Way,1,1944
141,Double Indemnity,0,1944
142,Gaslight,0,1944
143,Since You Went Away,0,1944
144,Wilson,0,1944
145,The Lost Weekend,1,1945
146,Anchors Aweigh,0,1945
147,The Bells of St. Mary's,0,1945
148,Mildred Pierce,0,1945
149,Spellbound,0,1945
150,The Best Years of Our Lives,1,1946
151,Henry V,0,1946
152,It's a Wonderful Life,0,1946
153,The Razor's Edge,0,1946
154,The Yearling,0,1946
155,Gentleman's Agreement,1,1947
156,The Bishop's Wife,0,1947
157,Crossfire,0,1947
158,Great Expectations,0,1947
159,Miracle on 34th Street,0,1947
160,Hamlet,1,1948
161,Johnny Belinda,0,1948
162,The Red Shoes,0,1948
163,The Snake Pit,0,1948
164,The Treasure of the Sierra Madre,0,1948
165,All the King's Men,1,1949
166,Battleground,0,1949
167,The Heiress,0,1949
